"PatternId","Path","Line","TextSha256","Disposition","EvidenceId"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","5","cf10f9ed028cb3a1e4650f76928e44974708346e7190298db141247d801cab87","WP5_VERIFY_PLANNED_EMPTY","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","39","845bf8aa7574db23fa662c45fc8cf43264b602e183ba21c8e25ffd707e7d7006","WP5_DIRECT_DOWNGRADE","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","54","14275ed9e0ee7e0709e1588656598658c553d02cc635a2bc0a21bd27c93c4a3e","WP5_VERIFY_PLANNED_EMPTY","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","59","5256d02a67dcbcafbaf9d260df1e5b9a7b6fc48871199c068d35191881ec1d5d","WP5_VERIFY_PLANNED_EMPTY","none"
"ORDERS_SPEEDUP","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","59","5256d02a67dcbcafbaf9d260df1e5b9a7b6fc48871199c068d35191881ec1d5d","WP5_DIRECT_DOWNGRADE","none"
"MINEABLE_RESOURCE","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","93","d081110bcb108283df41865bd181afea23efa8644f4bfb1003bcbe1f525dac62","WP5_DIRECT_DOWNGRADE","none"
"MINEABLE_RESOURCE","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","99","0b9d03921a05a172f54d50a9efc0b3ea59001f6aec866cd09e14d385487efdec","WP5_DIRECT_DOWNGRADE","none"
"ORDERS_SPEEDUP","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","101","a2348aa0dbc4457e5cafbfada4361ce6be34dc66def7cca046c1f38e130d231b","WP5_DIRECT_DOWNGRADE","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","103","2c57a29116c2f76aa4ef60956473629336e1f63f1fe63eb7e9d7cbfa0823ec74","WP5_VERIFY_PLANNED_EMPTY","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/00-摘要.md","115","e3d3d43873ad42805655d24486e9f455bbac0be6e50a8778d129532a3302994f","WP5_VERIFY_PLANNED_EMPTY","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","5","dbc06d0253d75d5f8ec66715a4b9a4f815466e54a805634fe88a797113d00609","WP5_VERIFY_PLANNED_EMPTY","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","7","4571397e0c2dc0a3ecc5f27673407eb816acbb4c5db9407703894bbf8f40f3e9","WP5_VERIFY_PLANNED_EMPTY","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","214","9590d901764a7f189e41a8ad9a3a590e85965e8dd1a01e9b2f8ca8423345045b","WP5_DIRECT_DOWNGRADE","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","216","9ee349e7ada802872f554d656597f4e37f839ab9af9e44e428d7c960f2dcef06","WP5_DIRECT_DOWNGRADE","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","231","8e94ad0b197ababa25b733ea019111cc8f61248b5b4d1948a1748ae8dce54f8d","WP5_DIRECT_DOWNGRADE","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","271","a485bfe600ff9947013668691c3909a870180fa9738c610886a24baf604c5f92","WP5_DIRECT_DOWNGRADE","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","273","f2960806b5bd516c1bc27c2bda415cc3b031155b83a24cdda63d66e302417c27","WP5_DIRECT_DOWNGRADE","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","311","a485bfe600ff9947013668691c3909a870180fa9738c610886a24baf604c5f92","WP5_DIRECT_DOWNGRADE","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","312","9e5f4383dce745371b6ffda70b4faa1cabbffbcdbdedc5ede561daa400024f56","WP5_DIRECT_DOWNGRADE","none"
"SOLVED_PAIN","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","313","a9cc5647f52125dfa2c77d26afbe0409f594e5c2d38454693ecf82c2b2053112","WP5_DIRECT_DOWNGRADE","none"
"ORDERS_SPEEDUP","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","327","ebd2b7e118e4e5dd8f08e0549671ecc504e87664481b982f6188facb81aedfa6","WP5_DIRECT_DOWNGRADE","none"
"WEEK_TO_HOUR","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/01-引言.md","327","ebd2b7e118e4e5dd8f08e0549671ecc504e87664481b982f6188facb81aedfa6","WP5_DIRECT_DOWNGRADE","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/02-全方法深度融合的底层逻辑与理论总纲.md","57","f6ad3490fb5c58eb0372e29fba334e2b7e204144cba7b3096f61edf2fa56e3ac","WP5_VERIFY_PLANNED_EMPTY","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/02-全方法深度融合的底层逻辑与理论总纲.md","236","18be6a76b168b8d3afcdd59a35c4d6489a02caca4824d0f0a4d6903f5c1f718f","WP5_VERIFY_PLANNED_EMPTY","none"
"MINEABLE_RESOURCE","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/02-全方法深度融合的底层逻辑与理论总纲.md","294","19bb96ee55054c858bcc3bf0548c4fb1ce0731f131f96c2bcd2e4fc72582e750","WP5_DIRECT_DOWNGRADE","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/02-全方法深度融合的底层逻辑与理论总纲.md","351","ed7ff61ff69000ceab876e1bc7d1c77897eb8627e85fe984a51dbb9bdd573589","WP5_VERIFY_PLANNED_EMPTY","none"
"OBSERVED_FIELD","_bmad-output/planning-artifacts/research/贝叶斯思想与重磁电电磁深度融合技术体系/02-全方法深度融合的底层逻辑与理论总纲.md","550","4dd8dc1ddd00c78dbfdc95cf1b917383e6ec336a16d6168fd8b220c810786d3f","WP5_VERIFY_PLANNED_EMPTY","none"
